Plate,Enzyme (nM),Substrate (nM),Inhibitor (nM),Inhibitor_ID,v (nM.min^{-1})
2023-03-24-3E_8S.xlsx,25,1350,0,,0.441959369
2023-03-24-3E_8S.xlsx,25,1350,0,,0.511060508
2023-03-24-3E_8S.xlsx,25,1150,0,,0.401140971
2023-03-24-3E_8S.xlsx,25,1150,0,,0.50550141
2023-03-24-3E_8S.xlsx,25,950,0,,0.356291674
2023-03-24-3E_8S.xlsx,25,950,0,,0.384773746
2023-03-24-3E_8S.xlsx,25,750,0,,0.333656622
2023-03-24-3E_8S.xlsx,25,750,0,,0.313369236
2023-03-24-3E_8S.xlsx,25,550,0,,0.252551375
2023-03-24-3E_8S.xlsx,25,550,0,,0.233282788
2023-03-24-3E_8S.xlsx,25,350,0,,0.130361957
2023-03-24-3E_8S.xlsx,25,350,0,,0.141524448
2023-03-24-3E_8S.xlsx,25,150,0,,0.094438223
2023-03-24-3E_8S.xlsx,25,150,0,,0.100595312
2023-03-24-3E_8S.xlsx,25,50,0,,0.023033713
2023-03-24-3E_8S.xlsx,25,50,0,,0.02538138
2023-03-24-3E_8S.xlsx,25,1350,0,,0.486520744
2023-03-24-3E_8S.xlsx,25,1350,0,,0.519831037
2023-03-24-3E_8S.xlsx,25,1150,0,,0.44003251
2023-03-24-3E_8S.xlsx,25,1150,0,,0.480740168
2023-03-24-3E_8S.xlsx,25,950,0,,0.365283682
2023-03-24-3E_8S.xlsx,25,950,0,,0.404662472
2023-03-24-3E_8S.xlsx,25,750,0,,0.315362538
2023-03-24-3E_8S.xlsx,25,750,0,,0.233991517
2023-03-24-3E_8S.xlsx,25,550,0,,0.254677563
2023-03-24-3E_8S.xlsx,25,550,0,,0.244046619
2023-03-24-3E_8S.xlsx,25,350,0,,0.137892209
2023-03-24-3E_8S.xlsx,25,350,0,,0.130982095
2023-03-24-3E_8S.xlsx,25,150,0,,0.097007368
2023-03-24-3E_8S.xlsx,25,150,0,,0.099044966
2023-03-24-3E_8S.xlsx,25,50,0,,0.022856531
2023-03-24-3E_8S.xlsx,25,50,0,,0.022192097
2023-03-24-3E_8S.xlsx,25,1350,0,,0.530860642
2023-03-24-3E_8S.xlsx,25,1350,0,,0.526563968
2023-03-24-3E_8S.xlsx,25,1150,0,,0.437551956
2023-03-24-3E_8S.xlsx,25,1150,0,,0.503995359
2023-03-24-3E_8S.xlsx,25,950,0,,0.368162896
2023-03-24-3E_8S.xlsx,25,950,0,,0.359480958
2023-03-24-3E_8S.xlsx,25,750,0,,0.531126415
2023-03-24-3E_8S.xlsx,25,750,0,,0.336535836
2023-03-24-3E_8S.xlsx,25,550,0,,0.281077742
2023-03-24-3E_8S.xlsx,25,550,0,,0.230049209
2023-03-24-3E_8S.xlsx,25,350,0,,0.140284171
2023-03-24-3E_8S.xlsx,25,350,0,,0.142631838
2023-03-24-3E_8S.xlsx,25,150,0,,0.091470418
2023-03-24-3E_8S.xlsx,25,150,0,,0.100595312
2023-03-24-3E_8S.xlsx,25,50,0,,0.023033713
2023-03-24-3E_8S.xlsx,25,50,0,,0.027286091
2023-03-24-3E_8S.xlsx,50,1350,0,,1.06568574
2023-03-24-3E_8S.xlsx,50,1350,0,,1.071621351
2023-03-24-3E_8S.xlsx,50,1150,0,,0.940174152
2023-03-24-3E_8S.xlsx,50,1150,0,,0.884716058
2023-03-24-3E_8S.xlsx,50,950,0,,0.767487747
2023-03-24-3E_8S.xlsx,50,950,0,,0.868791789
2023-03-24-3E_8S.xlsx,50,750,0,,0.665209202
2023-03-24-3E_8S.xlsx,50,750,0,,0.778783126
2023-03-24-3E_8S.xlsx,50,550,0,,0.604524228
2023-03-24-3E_8S.xlsx,50,550,0,,0.468182365
2023-03-24-3E_8S.xlsx,50,350,0,,0.294742935
2023-03-24-3E_8S.xlsx,50,350,0,,0.281409959
2023-03-24-3E_8S.xlsx,50,150,0,,0.190205315
2023-03-24-3E_8S.xlsx,50,150,0,,0.187060327
2023-03-24-3E_8S.xlsx,50,50,0,,0.04673186
2023-03-24-3E_8S.xlsx,50,50,0,,0.046598973
2023-03-24-3E_8S.xlsx,50,1350,0,,1.049695028
2023-03-24-3E_8S.xlsx,50,1350,0,,1.056295072
2023-03-24-3E_8S.xlsx,50,1150,0,,0.897030235
2023-03-24-3E_8S.xlsx,50,1150,0,,0.999220189
2023-03-24-3E_8S.xlsx,50,950,0,,0.764608533
2023-03-24-3E_8S.xlsx,50,950,0,,0.759071583
2023-03-24-3E_8S.xlsx,50,750,0,,0.671764952
2023-03-24-3E_8S.xlsx,50,750,0,,0.627513645
2023-03-24-3E_8S.xlsx,50,550,0,,0.467739409
2023-03-24-3E_8S.xlsx,50,550,0,,0.479699221
2023-03-24-3E_8S.xlsx,50,350,0,,0.298951018
